,text
700,@hisnameisaj @StephenCurry30 he looks good
701,My Columbia commencement speech: http://t.co/pljq55SLJM
702,@seehafer @peterthiel Peter Thiel.
703,@andrewchen ha! I had some other ideas for those . . .
704,@asemota @OoTheNigerian Oo is  my guy!
705,"@peretti @msuster @pmarca @kanyewest Good question. Kanye's were certainly more of a ""storm."""
706,"@HermanNarula if I did, it was subconscious, but that is a way cool idea to modernize The Prince and set it in Silicon Valley."
707,@magazinesouche No I didn't. Somebody made that quote up and attributed it to me. I don't categorize people.
708,@yoJayRowe Let me know what you think!
709,"@Bonfire202 they are generally completely unaware that the idea sounds bad, because they figured out why it's good long ago."
710,@pajackso here now
711,"@shamir_k It was so horrible, that it was one of the last things that I wrote in the book. I kept putting it off."
712,"@pmarca do you think that I can take down other magazines in this same fashion? If so, I need to go autograph some books now . . ."
713,Great insights from @juleshorowitz http://t.co/D5zaxcQ9eb
714,@CODE2040 Thank you!
715,"@brandodaily @CODE2040 Oh my God, Oh my God  . . ."
716,More good news for Spark and @databricks heading into Spark Summit http://t.co/5xk42kPm99
717,Great to see some data to go with the hot air about tech funding http://t.co/sLpTzGz82e even better to see it from my teammates.
718,@OCVC @pmarca Yes indeed
719,@wingod @pmarca It comes from a good place. Entrepreneurs are super creative. Remove the money constraint and they will have more ideas.
720,@BrandonSpano @jordanaxani I appreciate that!
721,"If I am able put aside the contrived characterization of my book to fit her narrative, I am e… http://t.co/FCpRVopTnF http://t.co/HU3z92sp2I"
722,@Godswill_94 There are links to my mixtape at the end of this: http://t.co/XPCLiB1blb and there is: https://t.co/ylA6VMKXeL @4thlettermusic
723,@Disruptepreneur Gucci Mane is underrated on so many levels.
724,I wrote a new post on hair http://t.co/qahPQcytlQ . Please refrain from your wise aleck comments about my hair.
725,@ianjdunlap you know this
726,"@simonegovic I didn't say ""every banker."" I was referring to one bad banker. Sorry if that wasn't clear."
727,"@ashmogy @a16z the company isn't disclosing, but they were profitable when we invested."
728,Me and @Brice_Butler getting ready for S.O.G. http://t.co/SQbcG4HS28
729,@brian2346 @Brice_Butler S.O.G. Is all business
730,"@Sophia_Amoruso @KimKardashian yes, we are friends."
731,@TimBWalsh @TeddyBeingTeddy Here's the full context http://t.co/NH91DnsnfX. Let me know if you still think that it was egotistical.
732,@TheCoolestCool that quote is on my grandfather's tomb stone.
733,Nice work @Jawbone and @hosain !! http://t.co/GVBQxNsPbS
734,I really love this post from @mlevchin http://t.co/xIfI9YbGw5
735,"@rouzieroze too to tweet, but keep things very simple, distinguish long-term vs. short-term, and recognition can be more valuable than $"
736,"@BenedictEvans If the last time it happened is any indication, about 1/50th of the companies that think they can."
737,"@BenedictEvans reasons: the companies have spent the growth money already in the form of 10 year real estate obligations, etc."
738,@JPoliskin @MeekMill Fire.
739,"@Ad_Og @mbohanes Yes, no question that it does. The speech was to graduates about where to start the process of choosing a career."
740,@JPoliskin I recommend Free Weezy Album (FWA). The Glory and London Roads tracks are amazing.
741,@AEngblom_SNL @pmarca @fmbutt Or where technology has been applied and where it has not.
742,. @pmarca we need to thank people like Andy Grove and Dave Packard for that. They set the culture by example.
743,"@danielreji5 i am in the minority, but Late Registration for sure."
744,@sunilpande @intel @pmarca High Output Management
745,@JonasPeeck It's just meant to be a little gesture of inclusion.
746,@dappermarketer @LilTunechi London Roads
747,My forward to @jgilliam's new book http://t.co/4UO1ISffTs @NationBuilder
748,I posted my introduction to @jgilliam 's new book http://t.co/0u8pnvy4u6
749,Great post from @LarsLuv http://t.co/9OuP2UdtNu . Most managers are not used to getting precisely what they ask for!
750,@KennaNzewi I thought 40 did a nice job of defending him: http://t.co/A0G7uoGxwq
751,Who should tell this story? @juleshorowitz http://t.co/iw7DGDQjZ1
752,@JPoliskin almost nothing in hip hop was a big hit in those days as there was no radio play or distribution. It was huge in NY.
753,"@davidsperduto Because we had almost no data in those days. I imagine, you'd change the job if you had 1000X the data."
754,"@sensengj Regardless of which songs Drake wrote, what Meek did after Drake spit the best verse on Meek's album was weak. I like BacktoBack."
755,"@Nates_Here Regardless of what Drake did or did not write, he spit the best verse on Meek's album, so what Meek did was foul ball."
756,@sageteq @Nas The Black Jacobins by CLR James
757,@briangamido @a16z is doing an advanced screening on Tuesday.
758,"Great night at the Straight Outta Compton Premier. So much love for Gary, O'Shea, Jason, Corey, and Cube. http://t.co/vExADNw6nD"
759,@joshvoydik damn that shit was dope!!!!!
760,New post from @juleshorowitz http://t.co/hT5HjRmX9V
761,New podcast where @andrewmason and I talk about his employee equity system: http://t.co/nIFbUFJBFP
762,@courtlandalves I would go with something simple. Don't overdo it.
763,Here is the Straight Outta Compton podcast with @icecube http://t.co/NFFQNAIkS7
764,@jhtdc Reppin' the Yeezy's means reppin' Ye and I'm all about that.
765,@Franceschine @CodedByCam I said to the guys in the movie at our Silicon Valley screening of the film. That was the context.
766,@johnshah3000 @alexmstephany @a16z The Hard Thing About Hard Things http://t.co/WmEsLX6Uyx
767,These stories from @jgilliam are amazing http://t.co/dWM6oJIYQk @NationBuilder
768,@tristanwalker the only problem with that statement is he didn't create the styles he adapted. Starting with 808s&amp;Heartbreaks.
769,"@mwfishman @tristanwalker I think that it's fair to rate artists more on creativity than athletes, but maybe that's just me."
770,"@elsubliminal @tristanwalker yes, but he's a creative artist not a tech company."
771,@mwfishman @tristanwalker by your logic the kid on YouTube who can play Purple Haze better than Jimmy Hendrix is important.
772,"@mwfishman @tristanwalker not exactly, but there's a difference between the Beatles and the Monkeys."
773,@mwfishman @tristanwalker I really like Drake. I think that Tristan was just pushing it a little far. Drake is the top rapper in the game.
774,It's critical to know the relevant parts of this before trying to raise money. http://t.co/bgB3j5vCaY @jeff_jordan
775,@flawlesstracks one shot one kill
776,@JulianMiller Yep. No penalty. They just screwed after collecting $10M in fees from us over 8 years and there were no consequences.
777,@VParchuri thanks for letting me know!
778,@skalskiw medium is awesome
779,@newarkstar7 @EdreeceA then watch the video :-)
780,Great post from an awesome entrepreneur @PromisePhelon http://t.co/drXrnWhiNX
781,"@flawlesstracks They are all great, so it's a matter of taste. For me it's 1. The Wire 2. Game of Thrones 3. Breaking Bad."
782,How about that? @4thlettermusic is famous! http://t.co/KMwDadK4yz
783,@vernon___ I quote him perpetually and not just on my blog :-).
784,@danielgold1 The Black Jacobins by C.L.R. James
785,I will be doing an AMA on @ProductHunt on September 3rd for The Hard Thing About Hard Things http://t.co/WJ71Ha6B4X
786,I am ridiculously excited to interview the great @Oprah tonight at the Fox Theater in Redwood City!!!
787,@delane @Oprah @periscopeco I think that we are recording it and will turn it into a podcast.
788,@tristanwalker I think it adds up. He probably takes home no more than $75M/year after taxes and expenses plus he does spend a little :-).
789,"@tristanwalker yes, but my understanding is he spends interest not principle."
790,@DonaldRichard let me know what you think!
791,"@DonaldRichard I don't know what's most important, but those are certainly important. I think founder psychology is more important of the 2."
792,@DonaldRichard @web @tristanwalker I wrote the Forward to the new edition which comes out in the fall I think.
793,@kevindstevens Wu Tang forever
794,"@Vbarnett323 ""The hard thing about about hard things? Aint nuthin' easy"" -@4thlettermusic https://t.co/VVNibyTZPi"
795,So many young people ask me how to get into tech. This is a great place to start!! http://t.co/uonVgGxtmj @udacity @SebastianThrun
796,"I can't wait for a similar study in rap music, so that people will finally understand cause and effect. https://t.co/CNt34uPUCy"
797,"The First Bitcoin Computer. 
http://t.co/WEaU4X1sD1 …
Now available on Amazon. Ships 11/16.
https://t.co/L7tcn10kmx …"
798,@eriktorenberg @balajis Yes sir!
799,@brianchoffman @mbeaudroit @balajis They will definitely be doing that.
800,"@mbeaudroit @balajis It was the right choice to sell it on AMZN despite their backwardness. On 21 site, you'll be able to buy with bitcoin."
801,"@brianchoffman The 21 computer puts you in the 21 mining pool, so that you actually get bitcoin."
802,@manan19 @brianchoffman adding @balajis
803,"@wlchasetx @pmarca The ""stuff"" includes a mining chip that connects to the 21 mining pool, so it gives you actual bitcoin. @balajis"
804,"@livinglucency @_ericelliott in addition to the mining chip in the computer, the sw puts you into the 21 mining pool."
805,@30somethingSTL @21dotco @balajis @pmarca confirmed
806,A big highlight of my life honoring my hero Andy Grove at the Churchill Club. http://t.co/6HUOEyBnRl
807,Andy Grove is the best: http://t.co/7T87wf5qIN
808,Our investment in @Medium https://t.co/IdvOyDVmUW
809,@simm_todd @FeliciaHorowitz found him. He is a Shakespearean actor.
810,@Quan @Medium there now
811,@AlexTeu @pmarca yep. Part of the problem with the diversity discussion is that nobody wants to know those numbers.
812,"@AlexTeu @pmarca I just counted. I think it's around 11%, but that's not an official number :-)."
813,Yep! @Genius the future of journalism: http://t.co/cC6xUKYBHG
814,@JoshDubowAP Isn't Clay Matthews 29 not 39?
815,@JoshDubowAP got it.
816,@joelblakeAGP no sir.
817,@loganapayne That's not even close to true.
818,"@loganapayne also, every CEO story in that book is about me. I don't think my work or my outcome was unacceptable. #hatingfornoreason"
819,@carolinedclark I just write that way so the discussion of being an entrepreneur includes women. My French teacher told me language matters.
820,"@loganapayne You would prefer that it be ""the men from the boys?"" The idea is to assume that the entrepreneur is a woman."
821,"@loganapayne When the entrepreneur wasn't specific, I made her a woman. There was no negative or positive about it."
822,@loganapayne it wasn't literal. It was a poetic flip of an old cliche. Or at least that was the intent.
823,@misskimari no
824,Nice interview with @LarsLuv when he show how vulnerability leads to strength http://t.co/6hSS0GUTxM
825,@timkawakami http://t.co/cIkKl1u3sh
826,"@stewart They may have an installed base problem. It's what all their customers grew up on, so they can't change the old, bad formula."
827,@RustyHIM @kamal_w There is a whole lecture that goes with the slide: https://t.co/vWVKVmsQba
828,Nice article on @genius https://t.co/pUtGmw6TXj @cgallagherross really captures it.
829,"Hanging with the Jones legends, Quincy and Nasir. @FeliciaHorowitz https://t.co/c8G4bEqkzs"
830,@nikhiljoisr Yes indeed
831,Thank you Mellody Hobson from @ArielFunds for keynoting our tech summit. You were awesome! https://t.co/PkVGtGStnp
832,OfferUp is growing almost impossibly fast https://t.co/PT4qJN5sPr
833,@VisionaryJordan talk to @garcegarce and she will let you know if I can do it.
834,A very exciting step for Virtual Reality film making from @Lytro https://t.co/KNdP3Ox5Kj. Nice work @jasonrosenthal and team!!
835,@Mangapcom @BenedictEvans @Lytro @jasonrosenthal This product is much less constrained and has superb image quality as a result.
836,@vernon___ I have very high hopes for that one.
837,An honor and a fun time interviewing the great Sir Martin Sorrell at the @a16z tech summit @FeliciaHorowitz https://t.co/083tr3PE11
838,https://t.co/70jE7pwRv9
839,I wrote the Forward to the new edition of Andy Grove's classic High Output Management: https://t.co/2dzKGYAqcP .
840,My post on Andy Grove (and also the new Forward to HOM) https://t.co/2dzKGYAqcP
841,@NedNadima Yes sir
842,"@nithinr6 I think so. It's his publisher, so it's not in my control, but that is my understanding."
843,"@dgp Thank you! Yes, too much advice from people who haven't run anything important and too little from Andy Grove!!"
844,@karipelaaja It's the single most important thing you should read.
845,"@VladVC @akaspine Yes, I agree."
846,@TheMiddle123 @akaspine https://t.co/2dzKGYiOOf
847,@jvandenbos @pmarca doh!!
848,@morageorge better late than never!
849,"@infoarbitrage Ah yes, the pyramid!"
850,@vernon___ Exactly! Somebody understands what I'm talking about . . .
851,@huhwhatdoido Yep
852,@DylanJermiah It's right here: https://t.co/X34nF7uUeY
853,@dickthewhite Thanks!
854,@lencastre It is out! There is a link in the post.
855,"@StewartFortier Thanks. That was actually my intention when I wrote it, so it's great to hear."
856,@blumpk Glad you like it!
857,@muchaeliN Great. Let me know what you think of HOM!
858,@wideclops @tbirdjeff You can see his reaction at the end of this video: https://t.co/7T87wf5qIN
859,"Great write up of @foundersatwork by her co-founder @paulg https://t.co/3YiOHPeFp9 . Without her, there is no @ycombinator."
860,@jenamcgregor adding @garcegarce who will follow up
861,Great lessons from @cdixon https://t.co/Ya3mZa6BKs
862,"@KayVink @Jruis ""Rap phenomenon, defyin' the rules of gravity
Studied all the classics, start revisin' my strategy"" - The Game"
863,"@ahhardin Everyone on the list is great, but the order is screwed up and where the hell is Pac??????"
864,"Not surprisingly, @jenamcgregor is the first journalist to recognize this: https://t.co/WKxLSAelqb"
865,@CalgaryCruz @pmarca @nytimes a compliment. Marc is unfamiliar with the intense haterness that surrounds LeBron. He just judges by skill.
866,@BertCattoor yes
867,@waqasaday not yet!
868,@Squint2Mylou that's a better use of the Jay-Z quote than Jay's original use.
869,"@mikedariano unfortunately, Micheal kept all that stuff secret, but there is a pretty good book on him called Ovitz."
870,@balajis and an excellent description of you.
871,@lankieu4579 @garcegarce can help you
872,"@gobleandrew I think that ""culture fit"" criteria when you don't define it up front can cause lots of hiring mistakes incl discrimination."
873,@mdcranney @paceknows Nice photo. Sorry about the Broncos. Not sorry.
874,@JPoliskin The last album that I really liked was Travis Scott's Rodeo
875,@chenjiayuh what test is that?
876,@chenjiayuh what school?
877,New marketing thinking for 2016 from @SteveStoute https://t.co/PvGC7RQSex @PulseofCulture
878,"@gregmulholland @DanielleMorrill @trengriffin yes, I was quoting Eisenhower. Somehow that got lost on twitter."
879,@vspell60 talk to @garcegarce and she can help
880,"@modestproposal1 @pmarca yes, until we get the AI CEO, we will very likely be stuck with this human weakness!"
881,@TaiksooKim @pmarca @modestproposal1 The emotion is always there. You just don't see it.
882,"@JGThinks_ @PUSHA_T he's great, but I liked his previous album, My Name is My name better."
883,"@cliffelam @pmarca She's giving the money away. Is your house free, because you get mortgage tax deduction?"
884,@cliffelam @pmarca it's illegal to hire relatives to work in your charitable foundation. What Ford works at the Ford Foundation?
885,"@cliffelam I think that you must never have given money away, because you have zero understanding of charitable tax laws."
886,"@cliffelam @pmarca to clarify, relatives can volunteer, but they cannot be paid by the foundation."
887,@cliffelam Because you are attacking Diane for being generous. How does it feel to be attacked back?
888,"@PeteyOnBlogs @pmarca @username83910 @cliffelam If you don't like tax incentives, fine, but there are worse ones than charitable deductions."
889,@PeteyOnBlogs @pmarca @username83910 @cliffelam How about the Sports Stadium deduction or the private jet deduction?
890,@PeteyOnBlogs @pmarca @username83910 @cliffelam what are the scamming incentives?
891,I am thrilled that we lead the new round in @SkydioHQ https://t.co/v7ou9wfDcU @cdixon
892,@PeteyOnBlogs @pmarca @username83910 @cliffelam worse than encouraging massive indebtedness and immobility via the mortgage deduction?
893,@PeteyOnBlogs @pmarca @username83910 @cliffelam and subsidizing people buying multi-million dollar mansions?
894,@PeteyOnBlogs I'd add that giving $$ away (even if to build a concert hall with your name on it) is better for society than buying a yacht
895,"@mauricecoyle @Nas I don't have one. Life's a Bitch, If I Ruled The World, U.B.R., Made You Look (+ the remix), Can't Forget About You. . ."
896,"@andrewsmhay @jbarro Until people who design the programs stop thinking about PR and start thinking about incentives, I think same results."
897,The best way to read the state of the union by far: https://t.co/qnevp0RAaw @Genius
898,"I am biased, but this is the first streaming music product that, other than convenience, is better than CD or Vinyl  https://t.co/VIDcJqgkdj"
899,@squeakytoy Any time
900,"@jderoc @pmarca His name is Crowley, the capital markets have changed, it's a great business, $45M is a great raise and @dens is not leaving"
901,@NaithanJones The Panthers are fine. They just need to score 1 TD and they walk away with an easy win.
902,@NaithanJones game over
903,@ShepHappens forced? What are you talking about? That's exactly what happens -- the team goes 0 to 100 real quick. That's the perfect quote.
904,"@___VLAD_ A bit of a rant as advertised, but you make some excellent points."
905,@iTrendTV @bhunstable @Ustream The Hard Thing About Hard Things
906,@AndiMann @RichRogersHDS @PrettyAgile There is a whole preso that comes from. I wasn't saying that all bi cos don't innvoate. #outofcontext
907,@raymond_green nice review!
908,"@MichaelMeram @HikariUso I know about J Dilla, Dej Loaf, and Big Sean"
909,@felixhoenikker9 maybe because you misspelled his name.
910,@DavidSacks Excited that you are doing it! https://t.co/Q1D9QVcnZl
911,Micropayments https://t.co/B5YcgzTsD0 and grid computing https://t.co/9aPdfbPoo4 with bitcoin. Super cool @balajis !
912,@adeelnkhan b for sure.
913,Amazing that @databricks has a free cloud offering https://t.co/f2jJa6FS7a
914,@jimmyrobkang It is a God dream.
915,@willgadea @pmarca this was prior to banks separating them which occurred after the tech crash. They used to sell them as a package.
916,I am lucky that @cdixon talks about this at the office and I am glad that these ideas are now available to everyone https://t.co/FXlcAZLMdG
917,@ShakaSenghor @MauriceAshley That trash talking old guy was pretty good considering who he was playing!
918,"@ShakaSenghor @MauriceAshley I imagine if he had tried that cheat move in the joint, there would have been stronger consequences."
919,Breakthrough new tool for advertisers from @foursquare https://t.co/CWdCYgi8AV
920,@wonjunetai I think that promoting cross-cultural understanding is a good thing.
921,I am so excited to be working with @martin_casado again! https://t.co/Sv2LEGFOwZ
922,I am super excited to interview @ShakaSenghor tomorrow night at SF Jazz!
923,@cokeem I appreciate that.
924,Great post on the treatment of prisoners and @ShakaSenghor by @juleshorowitz https://t.co/GIYm205qWI
925,In case you were wondering how it could happen https://t.co/bIT31NB1LK @jgilliam
926,MSFT has reason to be afraid. Be very afraid . . . https://t.co/2rjJoEMQy9 @okta
927,I'm excited to be working with @MichelFeaster on @usermindinc and I wish that I had the product when I was CEO https://t.co/rZtVCz9dNz
928,Interesting post from the @21 team  https://t.co/6ExqQqutA1 on buying and selling pings. What?!?! I see you @EliHaims
929,Really great post from my partner @sknthla https://t.co/LRHWbJWdkW I think my friend @SteveStoute would be impressed.
930,@producerdrummer I agree with @NaithanJones
931,@Breezy_Online @1future I am going to see @1future tomorrow thanks to @Dude_Br0
932,My interview with my guy @ShakaSenghor who spent 19 years behind bars and 7 in solitary. A very real discussion. https://t.co/pirk0Qx0Qo
933,@mykfmn @ShakaSenghor This has some very new topics. You will like it.
934,Our investment in @usermindinc https://t.co/k3OXKTYHQs
935,"@Vbarnett323 @usermindinc @a16z Yes, definitely. We need it!"
936,Shedding a few tears tonight for my hero and the best CEO and teacher I have ever known. Goodbye Andy. I love you. https://t.co/a4BoDq2RH3
937,@recruiterguru4u @muneeb thank you for coming to that. #andyforever
938,"@tommyrva he never ever failed to perform. Right up until the end, he was the best there ever was."
939,Beautiful Andy Grove obituary by Norman Pearlstine. https://t.co/6GzpdzNZtJ
940,@fredwilson @danprimack @bijan I agree with Fred. Attribution by partner only works if the VC firm is run poorly.
941,"@soonaorlater @alex_woodie As a giant investor in Spark via @databricks and huge @kanyewest fan, I have mixed feelings about that analogy."
942,@alex_woodie like Meek Mill
943,"Congratulations @mesosphere! 
https://t.co/lxfJaE979P"
944,This @danprimack piece on @Instacart is accurate https://t.co/Nv9B1Qdjlk
945,"@karmsingh ""The hard thing about hard things, aint nuthin easy"" -@4thlettermusic"
946,This is really awesome: simulating the Internet https://t.co/xkUyozqKmS @Improbableio
947,@maanisalimi he is doing swell
948,@thumpertje I'd probably take notes as you go. It's pretty dense.
949,"@AtotheJeezy T-Shirt is good on Monday mornings, but I think that Fuck up Some Commas and March Madness are even better Monday morning songs"
950,@weiks @pmarca when everybody is no longer on the same page about everything.
951,@herbySk @dfreed1 @BrendanEich expect what you inspect.
952,"@ShawnGraham Of course. The working title for my book was Aint Nuthin' But Sweat Inside My Hand, but the publishers didn't love that."
953,Looking forward to the year of commercial drones! https://t.co/erTydwIWsQ @jbdowney83
954,Summary of the News @newsgenius controversy https://t.co/fUBD3U1YGA . Ironically a great example of why @newsgenius is important.
955,Great war stories from @jasonrosenthal https://t.co/erG1eZQh9m
956,"@dre7413 @tiffani @pmarca I'd just stay keep striving. IDK what John meant, but that's some really bad criteria."
957,"@ReggieMiddleton @taranicholle I blame that on Napoleon for double crossing Toussaint, which led to the unwinding of the culture he built."
958,@zack The Black Jacobins by CLR James
959,Interesting piece on how company culture impacts security with our guy @OrionHindawi of @tanium https://t.co/s84R57840P
960,@jimomal77 @andrewsmhay all credit for that goes to @FeliciaHorowitz
961,My podcast with @dickc and our veteran friends https://t.co/QvIejIMK7R
962,I am massively excited that led by @cdixon we are investing in the legendary @GeohotUS!  https://t.co/ts6kerQfgT
963,@JokrCantSpell Geohot is all that no doubt.
964,@Disruptepreneur Respect to George for that. I think that my friends will definitely like George.
965,"@NoceraNYT @tavani @pmarca Swimming Across is a great book, but not in the same genre or a relevant compare with H.O.M. But good tip!"
966,@EvansRyan202 Really insulting to sweat shop workers. Kind of like saying being in a twitter debate is like serving in Iraq. WTF?
967,@NaithanJones thank you baccarat . . .
968,This is great new work from @FABNEWYORK  https://t.co/waF4UfgXdt
969,@rowbradley @Convertbond no. % given away as opposed to kept for themselves.
970,I lost my friend Bill Campbell today. I can't stop missing him https://t.co/F7wiFxgIpW
971,"A very proud moment for me to meet with Admiral John Richardson, our Chief of Naval Operations! https://t.co/riKFFpNpyA"
972,@dirkings That will be a treat. That man has a ton of knowledge.
973,This is a pretty crazy Prince guitar solo https://t.co/WCNf68UeZ3
974,"@robflessner Yes, amazing but true that he's underrated given that he's, well, Prince."
975,"@facebrand @balajis this is the 5th one in a row I think. They also predicted how many iPhones would be sold on the launch correct e,g,"
976,@maanisalimi yes sir. They are paying attention tonight.
977,"@TheRealOnanel define ""they"""
978,"@TheRealOnanel well, they are not me and I wouldn't say that. Race is not an investment criteria for us. We look for great entrepreneurs."
979,"@TheRealOnanel We happen to have a lot of black founders in the portfolio, but that's because they are great. It's not a race thing"
980,It's one thing to have an idea and a another to have a team take that idea and make it 100X better. Thx @a16z team! https://t.co/0CDd9awZft
981,@TheRealOnanel No worries. I am going to track down what you sent to the firm and I'll get right back.
982,@LaurenItow They did not recognize the Battlestar Galactica reference.
983,@matthewgonzales @EricaJoy that was a lie. I never said that. I never even spoke to the reporter. She made it up.
984,@EricaJoy I never said that. The reporter made the whole thing up as I have never spoken to her.
985,"@shawnvenkat @EricaJoy It's made up. Please don't read it. I never said it, I never spoke to the writer."
986,@TheRealOnanel we have it. @withfries2 is taking a look.
987,Greatness recognizing greatness @FABNEWYORK  https://t.co/aeaTdeBzsy
988,@TBerghane oh yeah!
989,@danchristman @dcexub look more closely at the cover
990,"Giant props to my guy @4thlettermusic for going from ""crack to rap to corner offices"" https://t.co/eqezurPhrv !!! Great work!! @TheRhymeo"
991,@pmarca GAAP by itself is less informative than GAAP plus non-GAAP. I'm not sure why that's so difficult to understand.
992,@svafier @pmarca a) it's not everything b) the math to calculate SBC is not as accurate as the share count increase.
993,@svafier @pmarca adding non-GAAP does not delete GAAP
994,@PittsTechAudrey make sure that you do coach proud. We owe him everything.
995,@emblem_network yes
996,@emblem_network @HarvardShanghai adding @garcegarce who can give you the details.
997,@NaithanJones What? The spray on hair is not working for you?
998,@NaithanJones I was going to say  . . . I love the hairline morph.
999,"@NaithanJones I was thinking ""wax on wax off"" Karate Kid hair."
1000,@QD3 @LitFreestyles No doubt. You are the 2Pac historian!
1001,"@NaithanJones yo man, give OKC the credit. They are whupping our asses"
1002,@NaithanJones it's the NBA. That's the league where the refs bet on games and nobody is surprised.
1003,"@torque @nntaleb in this case, the courts. #hulkwon"
1004,@torque @zhenjl @nntaleb @MonikaBauerlein arresting the mafia doesn't chill legitimate business. Ask your question for ACLU or Greenpeace.
1005,"@torque @zhenjl @nntaleb gawker isn't ""press."""
1006,"@torque @zhenjl @nntaleb 1) no fact checking 2) if definitive facts are presented contrary, no retraction 3) don't obey privacy laws"
1007,"@ghshephard @nntaleb @POLITICOMag you can make it work on other criminals, but not necessarily legitimate operations."
1008,@torque @zhenjl @nntaleb 1/have very clear personal experience on 1&amp;2. They wrote a slanderous story me based on a misquote in New Yorker.
1009,"@torque @zhenjl @nntaleb 2/when the New Yorker corrected the quote, Gawker left the piece up. G then deleted all comments pointing this out."
1010,"@jwarper @ghshephard @nntaleb @POLITICOMag yes, but that's a different issue. I support suing Gawker and other white collar criminals."
1011,https://t.co/fjRULVJN6R
1012,@1Cal83 It wasn't revenge. Gawker is a bad actor and not a legitimate publication. It was a public service.
1013,"@myxys If Gawker didn't routinely knowingly run false stories, I would have sympathy, but they are thugs who attack people for money."
1014,@myxys He's not shutting down free speech. they constantly break the law and he's stopping them.
1015,@myxys @pmarca He's not hiding it any more :-)
1016,@myxys @pmarca @sspencer_smb https://t.co/Sg97vEeeAr
1017,@rorwhy @slmandel @Ourand_SBJ https://t.co/Sg97vEeeAr
1018,@kaimac @nntaleb @lkoturner @MichialFarmer what if it's your friend who gets smeared or commits suicide due to Gawker selling misery for $$?
1019,@kaimac @nntaleb @lkoturner @MichialFarmer gawker is not press. They are thugs masquerading as press.
1020,@trekonomics @ProductHuntBook @ProductHunt the late great Christopher Hitchens recommended that book to me.
1021,@jgfarb @alexqgb @kaimac @nntaleb @lkoturner he's prosecuting a criminal organization. FB doesn't do law enforcement or press curation.
1022,"@jgfarb This was consistent behavior from Gawker. No fact checking, no retractions when they are proven wrong, privacy invasions . . . thugs"
1023,@jgfarb No. Uber and Lyft don't film rapes and then post them on the Internet. It's not the same.
1024,@jgfarb fighting old regulatory capture that's bad for citizens is not the same as being the mafia. Jay walking is not the same as murder
1025,"1982-83 Berkeley High Yellow Jacket Football Team. Yes, we are old, but if you want some, come get some. 🏈 https://t.co/ynBtqaIhOW"
1026,@fazz He's reppin' Andre @andreward
1027,@iLevelFinancial He was super fast.
1028,@EvanClark @P_LASCURAIN my Chinese publisher has already been much better at sending royalty checks and reporting than my US publisher.
1029,@DaveyAhearn Stay strong!
1030,@TBerghane @RAIDERS @BIrvin_WVU11 definitely 16-0. Raiders!!
1031,@hisnameisaj that was my wife's phone. Live streaming the game on her FB
1032,stevestoute's photo https://t.co/kbMIwe6pmU
1033,@Justin_Baez @Since1982NYC beautiful shirt
1034,I am excited to be working with our great LPs on a new fund! Fund V https://t.co/skKwUtMsHh
1035,Things are getting very interesting with @21 and @balajis https://t.co/E8wctEfeIY
1036,Me and Jungle birthday night. Nothing better than that. https://t.co/15yp6drDLW
1037,@ksimm will do
1038,@berkshireroad no I'm not
1039,@cmtessler @pmarca Knowing what to do and getting the company to do what you know.
1040,@EricaJoy @allenrowe It is a quote from The Game. Just trying to help him sell music. Didn't realize he wasn't cited properly.
1041,"@EricaJoy @allenrowe Ah, yes. I didn't catch that. I'll delete my retweet. That's not the proper quote. Thank you for pointing that out."
1042,"@EricaJoy I agree. I didn't realize he wrote it with the ""er"" and not the ""a"". That's an entirely different word."
1043,@EricaJoy It's gone now. I will pay better attention in the future. I appreciate you finding that and letting me know.
1044,"@kwuchu @EricaJoy @allenrowe And he changed the a to ""er"" that's not OK. i agree with @EricaJoy on that."
1045,"@kwuchu @EricaJoy @allenrowe if you come up with an idea inspired by an artist, do you not give them credit?"
1046,Dinner last night with @ShakaSenghor and Admiral John Richardson. Two great leaders in different fields. https://t.co/Db3g4a7XYb
1047,@kwuchu @EricaJoy I agree that intent is everything in this situation. My intentions: https://t.co/1QSq9lsj3k
1048,Barefoot Networks -- software eats networking protocol implementations https://t.co/nw12CbwVlP
1049,@impcapital @WSJ I strongly agree!!
1050,@NaithanJones @mariuschawa plus the author is so damned cool.
1051,"@NaithanJones @web @mariuschawa Yes, but that wasn't the intent. I did not exaggerate. It is what it is."
1052,"Same night, same fight @FeliciaHorowitz @juleshorowitz @SteveStoute https://t.co/msW2dbUeaH"
1053,@hot16 I used to be a rapper https://t.co/1QSq9lsj3k
1054,Really good post by @skupor on the perils of not thinking this all the way through https://t.co/nGmM9JVosu
1055,@mooreds @birsic @skupor less upside for the employees and the incentivize preservation rather than creation of value.
1056,@birsic That depends on the agreement. The question is how long should you have to work somewhere to become an owner? 1 year? 1 week?
1057,"@birsic That's part of the question. $$ in pocket should not matter, but long-term ownership incentive might be better if it's long-term."
1058,@boucher @buzz 1/The point isn't about what's deserved. More about the equation being dramatically changed.
1059,"@boucher @buzz 2/i.e. if you got 0.15% of the equity under the old math, you get 0.1% in the new math, but that's not transparent."
1060,"@boucher @buzz 3/Conclusion is that if you are going to redesign the system, you need to redesign the whole system not just a piece."
1061,@boucher the dilution equation changes for all owners (incl employees). I personally think the system needs a redesign rather than a hack.
